Institution,2022,2021,2020,2019,2018
Australia Monash University,40,48,59,62,68
Australia University of Melbourne,25,25,26,26,26
Australia University of New South Wales,41,51,64,70,69
Australia University of Queensland,36,36,42,42,45
Australia University of Sydney,28,27,27,31,34
Belgium Katholieke Universiteit Leuven,48,48,56,57,63
Canada University of British Columbia,35,31,30,29,27
Canada University of Toronto,16,17,18,20,20
China Peking University,45,51,59,68,65
China Tsinghua University,26,28,36,50,64
Denmark University of Copenhagen,37,34,32,34,37
France Sorbonne University,46,43,37,-,38
Germany Ludwig Maximilian University of Munich,46,46,43,46,40
Netherlands University of Amsterdam,38,40,40,51,55
Netherlands Utrecht University,48,54,55,56,57
Saudi Arabia King Abdulaziz University,44,42,51,76,110
Singapore Nanyang Technological University,33,38,43,49,55
Singapore National University of Singapore,29,32,34,38,43
Sweden Karolinska Institute,48,48,51,51,52
Switzerland ETH Zurich (Swiss Federal Institute of Technology),26,26,25,25,25
United Kingdom Imperial College London,20,20,20,18,17
United Kingdom King's College London,33,34,37,39,41
United Kingdom The University of Edinburgh,32,30,28,27,30
United Kingdom University College London,16,19,21,21,22
United Kingdom University of Cambridge,8,9,9,7,7
United Kingdom University of Oxford,5,5,5,5,5
United States California Institute of Technology,9,7,6,6,6
United States Columbia University,6,6,7,8,8
United States Cornell University,22,22,23,23,23
United States Duke University,23,23,22,22,21
United States Harvard University,1,1,1,1,1
United States Johns Hopkins University,9,10,11,12,10
United States Massachusetts Institute of Technology,2,2,2,2,2
United States New York University,30,29,28,28,28
United States Northwestern University,24,24,24,24,24
United States Princeton University,16,11,8,9,9
United States Stanford University,3,3,3,3,3
"United States University of California, Berkeley",4,4,4,4,4
"United States University of California, Los Angeles",14,13,14,13,13
"United States University of California, San Diego",21,21,19,17,16
"United States University of California, San Francisco",11,15,15,15,15
United States University of Chicago,15,15,13,14,14
United States University of Michigan-Ann Arbor,19,17,17,18,17
United States University of North Carolina Chapel Hill,39,36,33,32,34
United States University of Pennsylvania,13,14,16,16,19
United States University of Pittsburgh,42,43,47,43,48
United States University of Texas at Austin,43,38,34,36,32
United States University of Washington-Seattle,7,8,10,10,10
United States Washington University in St. Louis,31,33,31,32,32
United States Yale University,12,11,12,11,10
