Intended College Major,Test Takers,Percent,Total,ERW,Math
"Agriculture, Agriculture Operations, and Related Sciences",15889,1%,977,497,480
Architecture and Related Services,21287,2%,1051,523,528
"Area, Ethnic, Cultural, and Gender Studies",1607,0%,1029,530,500
Biological and Biomedical Sciences,107023,9%,1158,582,576
"Business, Management, Marketing, and Related Support Services",143081,12%,1081,540,541
"Communication, Journalism, and Related Programs",19807,2%,1071,552,519
Computer and Information Sciences and Support Services,62091,5%,1182,582,600
"Construction Trades, General",848,0%,951,478,473
Education,37945,3%,1033,526,507
Engineering,119666,10%,1167,573,595
Engineering Technologies/Technicians,19131,2%,1072,526,546
English Language and Literature/Letters,7735,1%,1148,602,546
Family and Consumer Sciences/Human Sciences,2640,0%,974,497,478
"Foreign Languages and Literatures, General",4830,0%,1121,576,545
Health Professions and Related Clinical Sciences,193775,17%,1053,533,520
"History, General",6641,1%,1134,587,546
"Legal Studies, General",23950,2%,1122,575,547
"Liberal Arts and Sciences, General Studies and Humanities",4674,0%,1181,604,577
Library Science/Librarianship,147,0%,1167,617,549
Mathematics and Statistics,11810,1%,1273,612,661
Mechanic and Repair Technologies/Technicians,2418,0%,949,475,473
Military Technologies,3632,0%,1003,508,496
Multi/Interdisciplinary Studies,1923,0%,1199,602,597
Natural Resources and Conservation,6222,1%,1132,577,554
"Parks, Recreation and Leisure Studies",5414,0%,978,492,485
"Personal and Culinary Services, General",2474,0%,946,483,463
Philosophy and Religious Studies,1918,0%,1157,591,566
Physical Sciences,16464,1%,1226,608,617
"Psychology, General",48143,4%,1083,556,527
Public Administration and Social Service Professions,4366,0%,1025,528,498
Security and Protective Services,37317,3%,975,498,477
Social Sciences,20983,2%,1190,607,583
Theology and Religious Vocations,956,0%,1112,574,538
"Visual and Performing Arts, General",72656,6%,1052,540,512
Other,15818,1%,970,492,478
Undecided,124732,11%,1003,506,497
